CustomerID,Recency,Frequency,Monetary,RFM_Baseline_Group,KMeans_k2,KMeans_k3,Hierarchical_k2,GMM_k2,GMM_k8_Diagnostic
12346,233,1,77183.6,1,1,0,0,1,0
12347,37,5,2790.86,3,1,0,0,0,5
12348,156,3,1167.24,2,0,2,1,1,4
12350,218,1,294.4,0,0,1,1,1,3
12352,170,5,1481.81,2,1,0,0,0,1
12353,112,1,89.0,0,0,1,1,1,0
12354,140,1,1079.4,1,0,2,1,1,0
12355,122,1,459.4,1,0,2,1,1,0
12356,153,2,2429.08,2,0,2,1,1,6
12358,58,1,404.86,1,0,2,1,0,0
12359,97,3,3495.73,2,1,0,0,0,4
12360,20,2,1378.28,2,1,2,0,0,6
12361,195,1,174.9,0,0,1,1,1,3
12362,28,4,1582.35,2,1,0,0,0,7
12363,17,2,552.0,2,1,2,0,0,6
12364,20,1,578.92,1,0,2,0,0,0
12365,199,2,641.38,1,0,1,1,1,6
12370,182,3,2682.66,2,1,2,1,1,4
12372,120,2,842.9200000000001,1,0,2,0,1,6
12373,219,1,324.6,0,0,1,1,1,3
12375,6,1,190.3,1,0,2,1,1,0
12377,223,2,1548.12,1,0,1,1,1,6
12378,37,1,4008.62,2,1,2,0,1,0
12379,78,1,414.84,1,0,2,1,1,0
12380,93,1,562.5500000000001,1,0,2,1,1,0
12381,27,1,1028.74,2,0,2,0,0,0
12383,92,5,1628.56,2,1,0,0,0,1
12384,29,1,212.69,1,0,2,1,1,0
12386,245,2,401.9,1,0,1,1,1,6
12388,56,4,1668.3400000000001,2,1,0,0,0,7
12393,153,3,1061.1000000000001,2,0,2,1,1,4
12394,125,1,351.08,0,0,1,1,1,0
12395,20,8,1674.57,3,1,0,0,0,5
12397,43,1,1109.81,2,0,2,0,0,0
12399,27,4,1033.65,2,1,0,0,0,7
12401,211,1,69.3,0,0,1,1,1,3
12402,231,1,195.6,0,0,1,1,1,3
12405,56,1,1390.39,1,0,2,0,1,0
12406,91,1,1621.25,1,0,2,0,1,0
12407,42,4,1242.3600000000001,2,1,0,0,0,7
12408,6,4,1939.05,3,1,0,0,0,7
12409,90,1,6207.08,2,1,2,0,1,0
12410,216,2,533.33,1,0,1,1,1,6
12412,45,2,836.74,2,1,2,0,0,6
12413,144,2,509.90000000000003,1,0,1,1,1,6
12414,125,3,442.41,1,0,2,1,1,4
12415,7,14,101737.88,3,1,0,0,0,2
12417,14,7,2483.52,3,1,0,0,0,5
12418,20,1,668.58,1,0,2,0,0,0
12421,22,3,488.56,2,1,2,0,0,4
12422,3,3,683.5600000000001,2,1,2,0,0,4
12423,8,7,1440.67,3,1,0,0,0,5
12424,70,2,1760.96,2,1,2,0,1,6
12426,102,1,510.73,1,0,2,1,1,0
12427,279,1,249.5,0,0,1,1,1,3
12428,28,8,6628.12,3,1,0,0,0,5
12429,80,3,2482.88,2,1,0,0,0,4
