solution,cluster,customers,percentage,median_recency,median_frequency,median_monetary,mean_recency,mean_frequency,mean_monetary
RFM_Baseline_Group,0,935,27.8108268888,182,1,190.55,182.447058824,1.05454545455,220.710096257
RFM_Baseline_Group,1,905,26.9185008923,88,2,409.63,95.1502762431,1.65856353591,606.159878453
RFM_Baseline_Group,2,803,23.8845925045,46,3,905.6,55.3449564134,3.12702366127,1228.49478456
RFM_Baseline_Group,3,719,21.3860797145,15,7,2433.22,20.0848400556,9.48122392211,5034.78191933
KMeans_k2,0,1967,58.506841166,125,1,304.1,133.928825623,1.38739196746,385.484936451
KMeans_k2,1,1395,41.493158834,27,4,1561.06,37.3792114695,6.51326164875,3299.77008746
KMeans_k3,0,866,25.758477097,22,6,2284.955,33.3036951501,8.74826789838,4720.2323903
KMeans_k3,1,976,29.0303390839,192,1,246.275,198.566598361,1.2387295082,340.626680328
KMeans_k3,2,1520,45.2111838192,58,2,498.48,61.1447368421,1.99342105263,619.246876316
KMeans_k4,0,1112,33.0755502677,45,3,1015.14,54.7868705036,3.33273381295,1311.80269964
KMeans_k4,1,893,26.5615704938,71,1,289.36,68.0201567749,1.359462486,304.452071669
KMeans_k4,2,470,13.9797739441,15,9,3375.405,23.4787234043,12.314893617,7063.17810638
KMeans_k4,3,887,26.3831052945,198,1,265.85,206.180383315,1.2480270575,350.771285231
KMeans_k5,0,865,25.7287328971,199,1,262.62,207.663583815,1.23930635838,343.827121387
KMeans_k5,1,965,28.7031528852,58,2,772.78,64.7658031088,2.58031088083,935.5488
KMeans_k5,2,184,5.47293277811,8,15,6001.795,15.3369565217,19.7717391304,12977.4421196
KMeans_k5,3,726,21.5942891136,71.5,1,235.395,68.5509641873,1.23415977961,250.390013774
KMeans_k5,4,622,18.500892326,25,6,1957.425,33.5434083601,5.97909967846,2558.81123794
KMeans_k6,0,190,5.65139797739,8,15,5910.37,15.2315789474,19.4578947368,12697.5979474
KMeans_k6,1,488,14.5151695419,147,2,663.815,151.354508197,2.00204918033,1039.12619057
KMeans_k6,2,635,18.8875669244,216,1,200.85,217.559055118,1.07244094488,226.991685039
KMeans_k6,3,758,22.5461035098,38,3,706.93,42.1860158311,2.56200527704,823.501584433
KMeans_k6,4,658,19.5716835217,74,1,213.12,69.7750759878,1.1990881459,229.712796353
KMeans_k6,5,633,18.8280785247,28,5,1949.36,36,5.89099526066,2404.87521327
KMeans_k7,0,600,17.8465199286,27,6,2009.12,34.2083333333,6.05333333333,2486.48275
KMeans_k7,1,563,16.745984533,57,1,241.09,54.1420959147,1.243339254,254.51991119
KMeans_k7,2,377,11.2135633551,247,1,226.03,248.970822281,1.10344827586,274.178806366
KMeans_k7,3,725,21.5645449137,38,3,750,41.32,2.67586206897,868.269932414
KMeans_k7,4,512,15.2290303391,159,1,218.155,155.876953125,1.123046875,231.65984375
KMeans_k7,5,401,11.9274241523,135,2,810.56,144.950124688,2.27930174564,1214.27301995
KMeans_k7,6,184,5.47293277811,8,15,6001.795,15.3369565217,19.7717391304,12977.4421196
KMeans_k8,0,371,11.0350981559,53,1,167.15,52.4959568733,1.1320754717,182.019919137
KMeans_k8,1,603,17.9357525283,38,4,1264.19,44.6086235489,3.77114427861,1414.64548922
KMeans_k8,2,367,10.9161213563,259,1,206.98,249.125340599,1.07901907357,246.419591281
KMeans_k8,3,134,3.98572278406,7,17.5,7951.18,14.3731343284,22.8507462687,16169.4023881
KMeans_k8,4,399,11.8679357525,18,7,2528.47,27.7894736842,7.73182957393,3191.71641604
KMeans_k8,5,617,18.3521713266,46,2,514.38,48.4246353323,2.00972447326,567.710471637
KMeans_k8,6,522,15.5264723379,155,1,228.82,153.093869732,1.1398467433,239.548697318
KMeans_k8,7,349,10.3807257585,150,2,810.56,157.510028653,2.12893982808,1246.17473066
Hierarchical_k2,0,1717,51.0707911957,32,4,1228.19,41.1205591147,5.62550960978,2780.91302388
Hierarchical_k2,1,1645,48.9292088043,150,1,258.28,148.922796353,1.31063829787,356.596036474
Hierarchical_k3,0,1645,48.9292088043,150,1,258.28,148.922796353,1.31063829787,356.596036474
Hierarchical_k3,1,1337,39.7679952409,41,3,936.55,48.1922213912,3.34330590875,1365.82929843
Hierarchical_k3,2,380,11.3027959548,13,10,3648.915,16.2394736842,13.6552631579,7759.77339474
Hierarchical_k4,0,1337,39.7679952409,41,3,936.55,48.1922213912,3.34330590875,1365.82929843
Hierarchical_k4,1,939,27.9298036883,195,1,303.97,201.811501597,1.34504792332,448.159680511
Hierarchical_k4,2,380,11.3027959548,13,10,3648.915,16.2394736842,13.6552631579,7759.77339474
Hierarchical_k4,3,706,20.999405116,84,1,212.19,78.5793201133,1.26487252125,234.813796034
Hierarchical_k5,0,939,27.9298036883,195,1,303.97,201.811501597,1.34504792332,448.159680511
Hierarchical_k5,1,628,18.6793575253,45,2,613.04,52.3025477707,2.21496815287,683.413775478
Hierarchical_k5,2,380,11.3027959548,13,10,3648.915,16.2394736842,13.6552631579,7759.77339474
Hierarchical_k5,3,706,20.999405116,84,1,212.19,78.5793201133,1.26487252125,234.813796034
Hierarchical_k5,4,709,21.0886377156,36,4,1475.81,44.5514809591,4.34273624824,1970.28197602
Hierarchical_k6,0,380,11.3027959548,13,10,3648.915,16.2394736842,13.6552631579,7759.77339474
Hierarchical_k6,1,628,18.6793575253,45,2,613.04,52.3025477707,2.21496815287,683.413775478
Hierarchical_k6,2,688,20.4640095181,202,1,226.775,210.481104651,1.11337209302,246.272979651
Hierarchical_k6,3,706,20.999405116,84,1,212.19,78.5793201133,1.26487252125,234.813796034
Hierarchical_k6,4,709,21.0886377156,36,4,1475.81,44.5514809591,4.34273624824,1970.28197602
Hierarchical_k6,5,251,7.46579417014,169,2,814.95,178.047808765,1.98007968127,1001.53836653
Hierarchical_k7,0,688,20.4640095181,202,1,226.775,210.481104651,1.11337209302,246.272979651
Hierarchical_k7,1,628,18.6793575253,45,2,613.04,52.3025477707,2.21496815287,683.413775478
Hierarchical_k7,2,357,10.6186793575,14,10,3325.91,16.9523809524,11.3109243697,4849.6087395
Hierarchical_k7,3,706,20.999405116,84,1,212.19,78.5793201133,1.26487252125,234.813796034
Hierarchical_k7,4,709,21.0886377156,36,4,1475.81,44.5514809591,4.34273624824,1970.28197602
Hierarchical_k7,5,251,7.46579417014,169,2,814.95,178.047808765,1.98007968127,1001.53836653
Hierarchical_k7,6,23,0.684116597264,2,41,43260.74,5.17391304348,50.0434782609,52930.59
