method,k,seed,groups,silhouette,davies_bouldin,calinski_harabasz,smallest_cluster,largest_cluster,smallest_pct,sizes,inertia,iterations,aic,bic,converged,mean_confidence,low_confidence_count,low_confidence_pct,min_covariance_eigenvalue,ari_mean,ari_min,ari_max,ari_std,pairs
RFM_Baseline,4,,4,0.221961766682,1.41743627115,2097.51802976,719,935,21.3860797145,"{""0"": 935, ""1"": 905, ""2"": 803, ""3"": 719}",,,,,,,,,,,,,,
KMeans,2,42,2,0.411375877464,0.904482354192,3136.78774585,1395,1967,41.493158834,"{""0"": 1967, ""1"": 1395}",5216.28129132,14,,,,,,,,1,1,1,0,10
KMeans,3,42,3,0.372795446438,0.915767614044,3135.74818241,866,1520,25.758477097,"{""0"": 866, ""1"": 976, ""2"": 1520}",3517.88544553,10,,,,,,,,0.998894247896,0.998157079827,1,0.000951679884938,10
KMeans,4,42,4,0.346009293918,0.949828848028,3039.66135088,470,1112,13.9797739441,"{""0"": 1112, ""1"": 893, ""2"": 470, ""3"": 887}",2714.50118527,7,,,,,,,,0.992698010263,0.983390400277,0.999097951824,0.00519225453125,10
KMeans,5,42,5,0.323936102483,0.994066119424,2768.89007795,184,965,5.47293277811,"{""0"": 865, ""1"": 965, ""2"": 184, ""3"": 726, ""4"": 622}",2346.00464643,10,,,,,,,,0.995460985984,0.990469362886,0.999161179867,0.00321703057818,10
KMeans,6,42,6,0.314837743283,0.969637116482,2662.28460352,190,758,5.65139797739,"{""0"": 190, ""1"": 488, ""2"": 635, ""3"": 758, ""4"": 658, ""5"": 633}",2030.83023887,12,,,,,,,,0.974875371891,0.958101010693,0.999181636443,0.0137716657098,10
KMeans,7,42,7,0.300980294542,0.98087353544,2528.2541502,184,725,5.47293277811,"{""0"": 600, ""1"": 563, ""2"": 377, ""3"": 725, ""4"": 512, ""5"": 401, ""6"": 184}",1826.69036119,57,,,,,,,,0.994148475429,0.987135565751,1,0.00476251167316,10
KMeans,8,42,8,0.281249372218,1.04943634238,2409.54576586,134,617,3.98572278406,"{""0"": 371, ""1"": 603, ""2"": 367, ""3"": 134, ""4"": 399, ""5"": 617, ""6"": 522, ""7"": 349}",1672.97049297,25,,,,,,,,0.86876574263,0.725016995829,0.979491343295,0.0985503952475,10
Hierarchical,2,,2,0.392839061734,0.946754111406,2896.42569277,1645,1717,48.9292088043,"{""0"": 1717, ""1"": 1645}",,,,,,,,,,,,,,
Hierarchical,3,,3,0.338898515138,0.931722674196,2565.99299239,380,1645,11.3027959548,"{""0"": 1645, ""1"": 1337, ""2"": 380}",,,,,,,,,,,,,,
Hierarchical,4,,4,0.314724171,0.94324651515,2676.90496898,380,1337,11.3027959548,"{""0"": 1337, ""1"": 939, ""2"": 380, ""3"": 706}",,,,,,,,,,,,,,
Hierarchical,5,,5,0.262129981609,1.13773564401,2432.12740367,380,939,11.3027959548,"{""0"": 939, ""1"": 628, ""2"": 380, ""3"": 706, ""4"": 709}",,,,,,,,,,,,,,
Hierarchical,6,,6,0.257721256855,1.16831049356,2305.93853761,251,709,7.46579417014,"{""0"": 380, ""1"": 628, ""2"": 688, ""3"": 706, ""4"": 709, ""5"": 251}",,,,,,,,,,,,,,
Hierarchical,7,,7,0.259341004791,1.08055716326,2137.53309998,23,709,0.684116597264,"{""0"": 688, ""1"": 628, ""2"": 357, ""3"": 706, ""4"": 709, ""5"": 251, ""6"": 23}",,,,,,,,,,,,,,
Hierarchical,8,,8,0.238504010109,1.07769561745,2002.63633796,23,709,0.684116597264,"{""0"": 628, ""1"": 709, ""2"": 357, ""3"": 706, ""4"": 447, ""5"": 251, ""6"": 23, ""7"": 241}",,,,,,,,,,,,,,
GMM,2,42,2,0.380230540352,0.972372767287,2723.70786413,1650,1712,49.0779298037,"{""0"": 1650, ""1"": 1712}",,6,21957.1242698,22073.4098048,True,0.887988757858,637,18.9470553242,0.10423430776,1,1,1,0,10
GMM,3,42,3,0.21048515895,1.39610487192,1758.07191058,992,1366,29.506246282,"{""0"": 992, ""1"": 1366, ""2"": 1004}",,9,6139.12526579,6316.61371389,True,0.92154086736,486,14.4556811422,9.99999999973e-07,0.999528688381,0.999214480635,1,0.000405640455889,10
GMM,4,42,4,0.134704840039,1.68261675667,1389.06208495,570,1366,16.9541939322,"{""0"": 758, ""1"": 668, ""2"": 1366, ""3"": 570}",,14,-1003.25565427,-764.564293026,True,0.945981829873,297,8.83402736466,9.99999999973e-07,0.998731705998,0.997694914972,1,0.0010092552956,10
GMM,5,42,5,0.0973493355221,2.00519147504,1181.84936684,396,1366,11.7787031529,"{""0"": 668, ""1"": 524, ""2"": 408, ""3"": 396, ""4"": 1366}",,27,-5132.6963574,-4832.80208302,True,0.959934913558,231,6.87091017252,9.99999999973e-07,0.960712477489,0.917267989322,1,0.0318677187116,10
GMM,6,42,6,0.102115224974,1.89516123895,1026.94453136,181,1366,5.38370017847,"{""0"": 447, ""1"": 1366, ""2"": 408, ""3"": 668, ""4"": 181, ""5"": 292}",,23,-5341.83346231,-4980.73627478,True,0.945069451091,288,8.56632956573,9.99999999973e-07,0.995185186694,0.990256001432,0.998355596929,0.00284023875441,10
GMM,7,42,7,0.0855504067647,1.74530283029,1083.74572658,165,1201,4.90779298037,"{""0"": 165, ""1"": 460, ""2"": 1201, ""3"": 260, ""4"": 668, ""5"": 200, ""6"": 408}",,30,-5671.39867869,-5249.09857803,True,0.937727600338,296,8.80428316478,9.99999999973e-07,0.996215568573,0.992039970371,1,0.00248790252249,10
GMM,8,42,8,0.159702255279,1.95490894966,1265.38586637,95,772,2.8256989887,"{""0"": 772, ""1"": 95, ""2"": 213, ""3"": 594, ""4"": 408, ""5"": 366, ""6"": 668, ""7"": 246}",,21,-7830.19656452,-7346.69355072,True,0.919211394758,406,12.0761451517,9.99999999973e-07,0.786380592289,0.651678558614,0.997813200572,0.124954303259,10
