k,cluster,customers,frequency_unique,frequency_min,frequency_max,min_covariance_eigenvalue
2,0,1650,46,1,131,0.167358414098
2,1,1712,6,1,6,0.10423430776
3,0,992,44,2,131,0.0405672231375
3,1,1366,1,1,1,9.99999999973e-07
3,2,1004,10,2,34,0.141416440689
4,0,758,43,3,131,0.0288599437947
4,1,668,1,2,2,9.99999999973e-07
4,2,1366,1,1,1,9.99999999973e-07
4,3,570,11,3,34,0.130106192636
5,0,668,1,2,2,9.99999999973e-07
5,1,524,42,4,131,0.0166900298108
5,2,408,1,3,3,9.99999999973e-07
5,3,396,13,4,34,0.121786554591
5,4,1366,1,1,1,9.99999999973e-07
6,0,447,15,4,24,0.0543106649864
6,1,1366,1,1,1,9.99999999973e-07
6,2,408,1,3,3,9.99999999973e-07
6,3,668,1,2,2,9.99999999973e-07
6,4,181,8,4,34,0.106615414189
6,5,292,42,4,131,0.0075774206358
7,0,165,1,1,1,9.99999999973e-07
7,1,460,15,4,24,0.0467781500861
7,2,1201,1,1,1,9.99999999973e-07
7,3,260,42,4,131,0.00684350511395
7,4,668,1,2,2,9.99999999973e-07
7,5,200,8,4,34,0.100430727319
7,6,408,1,3,3,9.99999999973e-07
8,0,772,1,1,1,1.00000000003e-06
8,1,95,7,5,34,0.0897498140793
8,2,213,41,5,131,0.00717999112087
8,3,594,1,1,1,9.99999999973e-07
8,4,408,1,3,3,9.99999999973e-07
8,5,366,14,5,24,0.0432851120367
8,6,668,1,2,2,9.99999999973e-07
8,7,246,1,4,4,1e-06
