method,k,seed_a,seed_b,ari
KMeans,2,42,7,1
KMeans,2,42,21,1
KMeans,2,42,99,1
KMeans,2,42,123,1
KMeans,2,7,21,1
KMeans,2,7,99,1
KMeans,2,7,123,1
KMeans,2,21,99,1
KMeans,2,21,123,1
KMeans,2,99,123,1
KMeans,3,42,7,1
KMeans,3,42,21,0.998157079827
KMeans,3,42,99,0.998157079827
KMeans,3,42,123,1
KMeans,3,7,21,0.998157079827
KMeans,3,7,99,0.998157079827
KMeans,3,7,123,1
KMeans,3,21,99,1
KMeans,3,21,123,0.998157079827
KMeans,3,99,123,0.998157079827
KMeans,4,42,7,0.994268475518
KMeans,4,42,21,0.983390400277
KMeans,4,42,99,0.993368687656
KMeans,4,42,123,0.996588584857
KMeans,4,7,21,0.989078751083
KMeans,4,7,99,0.999097951824
KMeans,4,7,123,0.997672554594
KMeans,4,21,99,0.989970591531
KMeans,4,21,123,0.986772391045
KMeans,4,99,123,0.996771714241
KMeans,5,42,7,0.999161179867
KMeans,5,42,21,0.991301951494
KMeans,5,42,99,0.999161073267
KMeans,5,42,123,0.996386688871
KMeans,5,7,21,0.992135432427
KMeans,5,7,99,0.998323246354
KMeans,5,7,123,0.9972252538
KMeans,5,21,99,0.990469362886
KMeans,5,21,123,0.994896658387
KMeans,5,99,123,0.995549012488
KMeans,6,42,7,0.999181636443
KMeans,6,42,21,0.981392152804
KMeans,6,42,99,0.958884485158
KMeans,6,42,123,0.964009647414
KMeans,6,7,21,0.980592149236
KMeans,6,7,99,0.958101010693
KMeans,6,7,123,0.963225318929
KMeans,6,21,99,0.973003872084
KMeans,6,21,123,0.98104863106
KMeans,6,99,123,0.989314815087
KMeans,7,42,7,1
KMeans,7,42,21,0.998607495626
KMeans,7,42,99,0.988503277869
KMeans,7,42,123,0.996527486347
KMeans,7,7,21,0.998607495626
KMeans,7,7,99,0.988503277869
KMeans,7,7,123,0.996527486347
KMeans,7,21,99,0.987135565751
KMeans,7,21,123,0.995139668868
KMeans,7,99,123,0.991932999985
KMeans,8,42,7,0.943695029469
KMeans,8,42,21,0.93686274415
KMeans,8,42,99,0.960903486923
KMeans,8,42,123,0.743582081975
KMeans,8,7,21,0.979491343295
KMeans,8,7,99,0.924450606265
KMeans,8,7,123,0.777789255558
KMeans,8,21,99,0.910496164919
KMeans,8,21,123,0.785369717914
KMeans,8,99,123,0.725016995829
GMM,2,42,7,1
GMM,2,42,21,1
GMM,2,42,99,1
GMM,2,42,123,1
GMM,2,7,21,1
GMM,2,7,99,1
GMM,2,7,123,1
GMM,2,21,99,1
GMM,2,21,123,1
GMM,2,99,123,1
GMM,3,42,7,0.999214480635
GMM,3,42,21,1
GMM,3,42,99,0.999214480635
GMM,3,42,123,1
GMM,3,7,21,0.999214480635
GMM,3,7,99,1
GMM,3,7,123,0.999214480635
GMM,3,21,99,0.999214480635
GMM,3,21,123,1
GMM,3,99,123,0.999214480635
GMM,4,42,7,0.998269943282
GMM,4,42,21,1
GMM,4,42,99,1
GMM,4,42,123,0.997694914972
GMM,4,7,21,0.998269943282
GMM,4,7,99,0.998269943282
GMM,4,7,123,0.999422485216
GMM,4,21,99,1
GMM,4,21,123,0.997694914972
GMM,4,99,123,0.997694914972
GMM,5,42,7,0.975792457694
GMM,5,42,21,1
GMM,5,42,99,0.932753922763
GMM,5,42,123,0.978387495939
GMM,5,7,21,0.975792457694
GMM,5,7,99,0.917267989322
GMM,5,7,123,0.997053895127
GMM,5,21,99,0.932753922763
GMM,5,21,123,0.978387495939
GMM,5,99,123,0.918935137642
GMM,6,42,7,0.998302895283
GMM,6,42,21,0.998355596929
GMM,6,42,99,0.992780341807
GMM,6,42,123,0.99667543843
GMM,6,7,21,0.99726272355
GMM,6,7,99,0.991722750562
GMM,6,7,123,0.997067169933
GMM,6,21,99,0.994367792359
GMM,6,21,123,0.995061156655
GMM,6,99,123,0.990256001432
GMM,7,42,7,0.997072500066
GMM,7,42,21,0.998556905938
GMM,7,42,99,0.994887987718
GMM,7,42,123,1
GMM,7,7,21,0.995631360785
GMM,7,7,99,0.992039970371
GMM,7,7,123,0.997072500066
GMM,7,21,99,0.993449567125
GMM,7,21,123,0.998556905938
GMM,7,99,123,0.994887987718
GMM,8,42,7,0.667481205374
GMM,8,42,21,0.747574503238
GMM,8,42,99,0.867219640138
GMM,8,42,123,0.749198316764
GMM,8,7,21,0.911014076964
GMM,8,7,99,0.651678558614
GMM,8,7,123,0.912276496191
GMM,8,21,99,0.679245501557
GMM,8,21,123,0.997813200572
GMM,8,99,123,0.680304423478
