method,k,seed,groups,silhouette,davies_bouldin,calinski_harabasz,smallest_cluster,largest_cluster,smallest_pct,sizes,inertia,iterations,aic,bic,converged,mean_confidence,low_confidence_count,low_confidence_pct,min_covariance_eigenvalue
KMeans,2,42,2,0.411375877464,0.904482354192,3136.78774585,1395,1967,41.493158834,"{""0"": 1967, ""1"": 1395}",5216.28129132,14,,,,,,,
KMeans,2,7,2,0.411375877464,0.904482354192,3136.78774585,1395,1967,41.493158834,"{""0"": 1967, ""1"": 1395}",5216.28129132,13,,,,,,,
KMeans,2,21,2,0.411375877464,0.904482354192,3136.78774585,1395,1967,41.493158834,"{""0"": 1395, ""1"": 1967}",5216.28129132,11,,,,,,,
KMeans,2,99,2,0.411375877464,0.904482354192,3136.78774585,1395,1967,41.493158834,"{""0"": 1967, ""1"": 1395}",5216.28129132,12,,,,,,,
KMeans,2,123,2,0.411375877464,0.904482354192,3136.78774585,1395,1967,41.493158834,"{""0"": 1967, ""1"": 1395}",5216.26399464,4,,,,,,,
KMeans,3,42,3,0.372795446438,0.915767614044,3135.74818241,866,1520,25.758477097,"{""0"": 866, ""1"": 976, ""2"": 1520}",3517.88544553,10,,,,,,,
KMeans,3,7,3,0.372795446438,0.915767614044,3135.74818241,866,1520,25.758477097,"{""0"": 1520, ""1"": 866, ""2"": 976}",3517.87842429,15,,,,,,,
KMeans,3,21,3,0.372821065922,0.915534788125,3135.75799642,864,1522,25.6989886972,"{""0"": 976, ""1"": 864, ""2"": 1522}",3517.86986203,8,,,,,,,
KMeans,3,99,3,0.372821065922,0.915534788125,3135.75799642,864,1522,25.6989886972,"{""0"": 1522, ""1"": 864, ""2"": 976}",3517.87083027,7,,,,,,,
KMeans,3,123,3,0.372795446438,0.915767614044,3135.74818241,866,1520,25.758477097,"{""0"": 976, ""1"": 866, ""2"": 1520}",3517.88544553,11,,,,,,,
KMeans,4,42,4,0.346009293918,0.949828848028,3039.66135088,470,1112,13.9797739441,"{""0"": 1112, ""1"": 893, ""2"": 470, ""3"": 887}",2714.50118527,7,,,,,,,
KMeans,4,7,4,0.346036098624,0.950610693006,3039.64733132,473,1113,14.0690065437,"{""0"": 473, ""1"": 1113, ""2"": 891, ""3"": 885}",2714.51033562,8,,,,,,,
KMeans,4,21,4,0.346368142172,0.949822713446,3039.57654133,477,1118,14.1879833432,"{""0"": 477, ""1"": 882, ""2"": 1118, ""3"": 885}",2714.56145753,19,,,,,,,
KMeans,4,99,4,0.346033249051,0.950533856499,3039.64465772,473,1114,14.0690065437,"{""0"": 1114, ""1"": 885, ""2"": 473, ""3"": 890}",2714.53007099,9,,,,,,,
KMeans,4,123,4,0.346028180882,0.950348284994,3039.65521231,471,1114,14.009518144,"{""0"": 885, ""1"": 1114, ""2"": 892, ""3"": 471}",2714.50699959,6,,,,,,,
KMeans,5,42,5,0.323936102483,0.994066119424,2768.89007795,184,965,5.47293277811,"{""0"": 865, ""1"": 965, ""2"": 184, ""3"": 726, ""4"": 622}",2346.00464643,10,,,,,,,
