method,k,ari_mean,ari_min,ari_max,ari_std,pairs
GMM,2,1,1,1,0,10
GMM,3,0.999528688381,0.999214480635,1,0.000405640455889,10
GMM,4,0.998731705998,0.997694914972,1,0.0010092552956,10
GMM,5,0.960712477489,0.917267989322,1,0.0318677187116,10
GMM,6,0.995185186694,0.990256001432,0.998355596929,0.00284023875441,10
GMM,7,0.996215568573,0.992039970371,1,0.00248790252249,10
GMM,8,0.786380592289,0.651678558614,0.997813200572,0.124954303259,10
KMeans,2,1,1,1,0,10
KMeans,3,0.998894247896,0.998157079827,1,0.000951679884938,10
KMeans,4,0.992698010263,0.983390400277,0.999097951824,0.00519225453125,10
KMeans,5,0.995460985984,0.990469362886,0.999161179867,0.00321703057818,10
KMeans,6,0.974875371891,0.958101010693,0.999181636443,0.0137716657098,10
KMeans,7,0.994148475429,0.987135565751,1,0.00476251167316,10
KMeans,8,0.86876574263,0.725016995829,0.979491343295,0.0985503952475,10
